quote_date,expiration,type,ivec_basis,ivrank_ec_1W,ivrank_ec_1M,ivrank_ec_2M
2017-10-04,2018-01-19,C,0.0976253596640356,6.2140889993509925,6.06122250439897,6.06122250439897
2017-10-05,2018-01-19,C,0.09770322224720088,9.674189877018474,7.784913540546612,7.784913540546612
2017-10-06,2018-01-19,C,0.1003032236118849,189.59085581645616,65.34271427217222,65.34271427217222
2017-10-09,2018-01-19,C,0.10179588966086972,150.57036631257537,98.3867642381892,98.3867642381892
2017-10-10,2018-01-19,C,0.09946740872472803,44.168224712225296,46.83977524415878,46.83977524415878
2017-10-05,2018-01-31,C,0.09724065267802004,-251.93874605666863,-160.65687666663797,-160.65687666663797
2017-10-06,2018-01-31,C,0.0990338390753884,37.71289253444929,28.204280380163866,28.204280380163866
2017-10-09,2018-01-31,C,0.1005039956004172,72.30579322360961,51.327758728812675,51.327758728812675
2017-10-10,2018-01-31,C,0.09930367385533212,45.71029959458933,32.44839900666121,32.44839900666121
2017-10-11,2018-01-31,C,0.09839996403404888,25.855745455883216,18.234324430149414,18.234324430149414
2017-10-12,2018-01-31,C,0.0973562301491799,3.541689424260096,1.8178698026080968,1.8178698026080968
2017-10-13,2018-01-31,C,0.09654393826773028,-25.80534966893197,-10.958330155498825,-10.958330155498825
2017-10-16,2018-01-31,C,0.0965087754026038,-0.8879382840306409,-0.4984411968475779,-0.4984411968475779
2017-10-17,2018-01-31,C,0.09603971571038228,-16.78270964598503,-6.616045205829552,-6.616045205829552
2017-10-18,2018-01-31,C,0.09608724323015873,2.0136660748737025,0.6287716211291826,0.6287716211291826
2017-10-19,2018-01-31,C,0.09582389221095396,-16.393553543203502,-2.855265586161395,-2.855265586161395
2017-10-20,2018-01-31,C,0.09538912320743416,-60.38072140361403,-5.59216303993506,-5.59216303993506
2017-10-05,2018-02-28,C,0.08858317936002932,75.42237270849245,85.75973083292051,85.75973083292051
2017-10-06,2018-02-28,C,0.08917524496772647,65.44655311454669,92.22552212391324,92.22552212391324
2017-10-09,2018-02-28,C,0.09030012723221556,183.4242447766889,104.51006264538624,104.51006264538624
2017-10-10,2018-02-28,C,0.0891127767033764,51.99268415300587,87.59283123454502,87.59283123454502
2017-10-11,2018-02-28,C,0.08751414437397326,-12.643701898807,70.88799081626622,70.88799081626622
2017-10-12,2018-02-28,C,0.0880333383680771,18.6359364189126,76.31328633801485,76.31328633801485
2017-10-13,2018-02-28,C,0.08708657214848274,-15.347266916074009,66.42009306220663,66.42009306220663
2017-10-16,2018-02-28,C,0.08435933179102395,-84.86676862220939,37.9219111377563,37.9219111377563
2017-10-17,2018-02-28,C,0.08342133029659429,-19.733088564719395,28.12030448414597,28.12030448414597
2017-10-18,2018-02-28,C,0.08427702134980296,18.55354630664279,37.061811688955494,37.061811688955494
2017-10-19,2018-02-28,C,0.0847038382642418,27.80801654657917,41.52181685235973,41.52181685235973
2017-10-20,2018-02-28,C,0.08397716443826136,15.165005861228193,33.92846966684688,33.92846966684688
2017-10-23,2018-02-28,C,0.08506944212094479,128.5069462276805,45.34217877686238,45.34217877686238
2017-10-24,2018-02-28,C,0.08453664185907363,67.67208061982481,39.7747051397579,39.7747051397579
2017-10-25,2018-02-28,C,0.08537407337744342,127.8895432295427,48.5254101131944,48.5254101131944
2017-10-26,2018-02-28,C,0.08539638597638634,101.59728371098907,48.75856466524669,48.75856466524669
2017-10-27,2018-02-28,C,0.0834839846383035,-34.750022227638425,0.9108328432368962,28.77500835852305
2017-10-30,2018-02-28,C,0.08347438558272963,-0.5019372964620925,0.7712872851441729,28.6747034362601
2017-10-31,2018-02-28,C,0.08302683576581485,-23.285625663337626,-5.734934967139182,23.99805069173409
2017-11-01,2018-02-28,C,0.08681703831783273,159.95451521171802,52.11124247566412,63.60361078199587
2017-11-02,2018-02-28,C,0.08759952041762077,120.6448623536351,62.86953675553401,71.78012414701666
2017-11-03,2018-02-28,C,0.08779051146514769,104.17678152049005,65.49545994875685,73.77587696120388
2017-11-06,2018-02-28,C,0.08948594547378698,135.59087804563907,88.80586922454927,91.49224240254094
2017-11-07,2018-02-28,C,0.09239683182836296,145.06637115922078,128.82745186045688,121.9094253498492
2017-11-08,2018-02-28,C,0.09350130838464134,119.79421916230407,111.787374817509,109.46701265042243
2017-11-09,2018-02-28,C,0.09553421290638822,134.44557027644566,119.40818020845272,115.91806123339742
2017-11-10,2018-02-28,C,0.09850917962797848,138.417890257836,123.78569613879792,120.09574875407316
2017-11-13,2018-02-28,C,0.09985437244159824,114.9081004729872,108.6885605021808,107.56622034409664
2017-11-14,2018-02-28,C,0.10047539332163943,108.32742203158821,103.69050379747443,103.24731740157698
2017-11-15,2018-02-28,C,0.09916036973203668,81.14414146827406,92.46342521210993,93.340014180429
2017-11-16,2018-02-28,C,0.0976931379049991,43.69249485299598,84.0545248067708,85.9091640881921
2017-11-17,2018-02-28,C,0.09591028460019617,-64.07942614254218,73.83675580724808,76.87983729721833
2017-10-05,2018-03-16,C,0.10563024060181067,34.08906307456952,20.082086511323734,20.082086511323734
2017-10-06,2018-03-16,C,0.10744363038163436,212.90592598950823,88.11966270405699,88.11966270405699
2017-10-09,2018-03-16,C,0.10864241467956294,151.04178920076495,133.0975151858869,133.0975151858869
2017-10-10,2018-03-16,C,0.10812395026491957,85.38473562274845,85.38473562274845,85.38473562274845
2017-10-11,2018-03-16,C,0.1065635497443947,40.9382054714319,41.39778975384128,41.39778975384128
2017-10-12,2018-03-16,C,0.10718306907567653,51.551750788074855,58.861743995966215,58.861743995966215
